x,y,z
0,0,0
-0.0043660826205065215,-0.00016952890859987547,5.251785200055065e-06
-0.009152816027674277,-0.0008648978095404534,2.3424807349124813e-06
-0.005039400761475491,-0.0025294558970605863,-1.0675960874680467e-06
-0.007498011966125214,-0.00019508470876557823,3.9504206313727394e-05
-0.008053494479506379,-0.0008949925877909074,0.00010525243392392223
-0.012002413938078065,-0.0009755353565196759,3.5120991286818895e-05
-0.007637615242239352,0.0009430250748799069,0.00010406167463968856
-0.005914193149483954,0.003458054639122488,0.00015679659398876096
0.0001193008608031329,0.0025409629149067622,0.0003412504290226131
0.0017961997647422054,-0.0004255855732969373,0.0004896642586124315
0.0011862999635071985,-0.00400555599639389,0.0005362236780599271
0.0009182165493810945,-0.006257040866450254,0.0005657850699405314
-7.819803541445427e-05,-0.009776177441207267,0.0006465700461654895
-0.0012029680180015879,-0.012911044760771047,0.000644442987387952
-0.003814010823541326,-0.01845770554664803,0.0007154245187361631
-0.0053948029655769185,-0.020933339298173988,0.0008319856612639093
-0.008429349711718298,-0.024100352609585336,0.0008963012248390961
-0.009881345603323407,-0.02546059022776425,0.0008969908603519333
-0.011931587796477836,-0.028809432126608615,0.0008413385981335652
-0.01297193999198645,-0.03028661631792569,0.0008831662085904139
-0.014285458328856993,-0.03347535245294288,0.0007951007141514124
-0.014964432013264932,-0.034778988227149574,0.0008746869643309652
-0.017139159216700044,-0.03733791757199622,0.0007637296792556474
-0.018479164691301207,-0.03809211690955326,0.0009055274167620322
-0.020619564877452402,-0.04104560483633177,0.0009708387446446787
-0.020862456670043397,-0.04177630896398181,0.001074530713557033
-0.022677266444912657,-0.043569881186280225,0.0009450717128086256
-0.0226095373514193,-0.04264206334845639,0.001074312143693509
-0.02591414593817742,-0.04376471985898808,0.0010288377930601715
-0.026693539494835425,-0.04551443431193998,0.001051514953616136
-0.030278427730626136,-0.04838863465009295,0.0009904268774796247
-0.030900176578996224,-0.04914247916154738,0.001152692271255882
-0.03342658435500966,-0.05107629526109681,0.0010360670924483195
-0.034510712411705044,-0.05232560211698997,0.0011089092575289527
-0.03767125056458774,-0.05434942985540462,0.0009279049042787266
-0.03795281294785317,-0.056852350474993985,0.0009946156597578884
-0.039024333095868245,-0.058957130446384697,0.0009439124005942654
-0.03954430003461621,-0.05992882985743454,0.0008400956628468162
-0.04124420622244345,-0.061210178728521705,0.0006765547937718071
-0.04165641105288191,-0.06288563643830392,0.0007248120504238393
-0.04452443563681413,-0.06337791419236145,0.0007620452715278209
-0.046967470290636165,-0.06384190829774845,0.0006820034020514056
-0.050019417844588056,-0.06599290130609108,0.0006340286590258012
-0.05318663513579704,-0.06456526956177627,0.0006512446818787676
-0.05939918557488429,-0.064133610330228,0.0006528998307570948
-0.06553674456478521,-0.060669743876200666,0.0006277966102540579
-0.06338445487919692,-0.057969044741430324,0.0006042898570725258
-0.06181776118509736,-0.058209210778614844,0.0004696149207912085
-0.060835757682202556,-0.05847748285339164,0.0005077147656849711
-0.06015556303577791,-0.058797501056072184,0.0005545460558230201
-0.05839431337424539,-0.060593372558217826,0.0006456724315926454
-0.05570353228171102,-0.06026325837979646,0.0006297171195764498
-0.055069266398081684,-0.060242461855761216,0.0006200309490380298
-0.053686879149599145,-0.06033326548058963,0.000624301988052966
-0.052399688257393266,-0.058590830496124444,0.0007150116368076724
-0.051560710794059196,-0.05712261157151264,0.0006194085393818942
-0.05086431817928784,-0.05740996523672961,0.0006429244625099639
-0.0489824006869683,-0.0591169234107433,0.0007169500141541872
-0.04839633542660667,-0.05828604846144124,0.0008915729563104534
-0.04814678916047527,-0.05664913707051733,0.0008922285665467027
-0.04693779272207393,-0.0573461857921602,0.0008612826737263824
-0.04569123378176049,-0.05800376887148931,0.0010884857904380986
-0.045411313967878085,-0.05626426486731831,0.0012680856570418749
-0.045470154780877,-0.05646312860866613,0.0012196960916872265
-0.04599077655213694,-0.05415003687163548,0.0010823543508698102
-0.045515362153490786,-0.05271633254432825,0.001164170657658072
-0.044726870522402914,-0.05122716572761566,0.0013433296048011082
-0.045660097292985376,-0.04964334673918672,0.0013286992093026829
-0.04517739660426816,-0.04987988090122164,0.0011554471973217284
-0.04271842759961138,-0.047810295486488914,0.0012410197669138938
-0.04128268284228807,-0.04441446522501568,0.0013564339516343488
-0.04105565474829679,-0.041934581448628716,0.0014143482294145544
-0.03960274330418402,-0.041113631798256174,0.0014151434416066764
-0.037586218613205505,-0.04025006968785214,0.0015286735154784261
-0.03644056591799288,-0.039427838088668364,0.0016370535458498899
-0.03555141193948189,-0.03876623766430633,0.0016065438141000545
-0.03364907403464296,-0.03866222207247682,0.0014512251425556073
-0.03181398867119866,-0.03730645920622639,0.0015215885455604561
-0.030574223145178395,-0.036690489584590744,0.0016368476533528615
-0.03076867353927092,-0.036004757375339896,0.0016030138605045683
-0.02972575774249185,-0.03590400780719109,0.001596111463276597
-0.029553123135695428,-0.03472800323482742,0.001794358484670498
-0.028979058569657195,-0.03436201374374597,0.0020098729591888583
-0.029178589977891054,-0.03541378340081337,0.0021085584574104858
-0.029405448804045935,-0.0354363741865469,0.0020098594542242733
-0.028673013791999408,-0.03298495055897715,0.002160695135997903
-0.028584518991962283,-0.030552914101489585,0.002355254942130736
-0.029171752535482917,-0.029916266306177407,0.002292465711150108
-0.03118693825808143,-0.028230428495087747,0.002320921576030658
-0.0322177599952533,-0.026828669479891556,0.0024253007259555817
-0.031826794200093614,-0.025273429055791604,0.002476474543949314
-0.03257740783446562,-0.025061496641423174,0.002255885074259409
-0.032425159225295826,-0.024611252263183468,0.0021312529441158898
-0.03284706788482216,-0.022141120045027496,0.0021616229090021728
-0.03213055245804159,-0.0184433630878969,0.0023028524099868823
-0.033077923746051084,-0.017239388791452478,0.002194656710041377
-0.03344698504363322,-0.01693033319258584,0.0021121490097124
-0.032889276567064724,-0.015697550767446788,0.0020626350888426235
-0.0324399616956926,-0.014267522963597292,0.0020549767501461765
